component,value,proportion
Comp.1,41.62292402631995,0.9459755460527237
Comp.2,1.4955434361737883,0.03398962354940419
Comp.3,0.3618956576911207,0.008224901311161813
Comp.4,0.1049832974203225,0.002385984032280051
Comp.5,0.06348610076279479,0.0014428659264271505
Comp.6,0.05357377153361007,0.001217585716672953
Comp.7,0.04858001415266661,0.0011040912307424201
Comp.8,0.035374622060851825,8.039686832011757e-4
Comp.9,0.02408269220572577,5.473339137664934e-4
Comp.10,0.02111505536326844,4.7988762189246333e-4
